Agents Count,Batch Size,Sent,Confirmed,P95,Best Eps,Best Confirmed
1,10,266,266,0.01,209,221
1,100,378,378,0.01,0,3150
1,500,222,221,0.03,0,9208
1,1000,173,172,0.05,14166,14333
1,3000,89,88,0.36,20750,22000
1,5000,58,57,0.43,22500,23750

10,10,1400,1390,0.19,1134,1158
10,100,1215,1215,0.14,9325,10125
10,500,792,783,0.27,31083,32625
10,1000,572,564,0.35,45333,47000
10,3000,235,225,0.86,59000,59000
10,5000,157,148,1.10,60000,61666

100,10,3961,3862,0.40,3161,3218
100,100,2798,2700,0.56,23300,23300
100,500,1162,1062,1.44,43000,44250
100,1000,604,504,2.75,46333,46333
100,3000,252,162,7.62,41750,41750
100,5000,179,79,10.29,42083,42083

500,10,9906,9407,1.97,3156,3156
500,100,4752,4252,5.21,17353,17353
500,500,1962,1641,9.82,26450,27350
500,1000,1837,1477,13.12,51566,51566
500,3000,721,221,28.48,0,22100
